,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
30,Luizalabs,Luizalabs,"São Paulo, SP",,Postedhá 2 dias,2022-05-01,Aplicar e difundir as boas práticas de segurança no projeto;Conhecimento nas linguagens Java e/ou Python e/ou NodeJS;Versionamento de projetos com GIT;,
31,Vagas de emprego: R&SSOUZA,R&SSOUZA,"Home office in São Paulo, SP",R$ 7.000 - R$ 10.000 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"Experiência de 05 anos na ou mais.Experiências em Python e seus frameworks como Django, Flask, FastAPI e afins / Bancos de dados relacionais como Postgres,…",
32,Wipro Limited,Wipro Limited,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.,
33,Vagas de emprego: Safira Energia,Safira Energia,"Home office in Barueri, SP",,Postedhá 17 dias,2022-05-01,"Aqui contamos com uma galera visionária e destemida, que vive num movimento constante para sempre fazer mais e melhor, trazendo soluções inteligentes para o…",
34,vagas de emprego: Barueri,,"Barueri, SP",R$ 3.500 por mês,Postedhá 11 dias,2022-05-01,"Estamos na vanguarda das tecnologias de engenharia do futuro, com soluções que garantem o sucesso de nossos clientes em setores-chave que estão moldando o…",
35,Clearsale,Clearsale,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-01,"Gerir, criar e dar manutenção aos indicadores contratuais que temos com nossos clientes;Trabalho com grandes volumes de dados com extração e manipulação de…",
36,PayGo Pagamentos,PayGo Pagamentos,"Home office in São Paulo, SP",,Postedhá 11 dias,2022-05-01,Garantir a comunicação dos ambientes (On-Premises e Clouds) de forma segura e automatizada com transparência e baixa latência;,
37,Vagas de emprego: Juntos Somos Mais,Juntos Somos Mais,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,"Você fará parte do time de Tecnologia, da squad de Loyalty.Experiência com Docker e Kubernetes;Experiência atuando com meios de pagamento;",
38,Gympass,Gympass,"São Paulo, SP",,Postedhá 23 dias,2022-05-01,Definition and execution of a continuous improvement process for the project.Monitor metrics and expose insights into how the project is doing over the weeks…,
39,Vagas de emprego: IFT-UNESP,IFT-UNESP,"São Paulo, SP",R$ 8.468 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"A implantação será feita em colaboração com o instituto ICTP em Trieste, Itália (www.ictp.it).",
40,Vagas de emprego: Joyjet Digital,Joyjet Digital,"Home office in São Paulo, SP",R$ 6.000 - R$ 10.000 por mês,EmployerAtiva 7 dias atrás,2022-05-01,"Apoia no desenho de Soluções e Projetos de Cloud Transformation.Mínimo três (03) anos de experiência.Experiência em Amazon Web Services (API Gateway, Lambda,…",
41,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,Postedhá 22 dias,2022-05-01,"Formação Superior Completa em Ciência da Computação, Análise de Sistemas, Banco de Dados, Big Data ou áreas relacionadas a Tecnologia da Informação;",
42,WMS,WMS,"Home office in São Paulo, SP",R$ 1.403 por mês,Postedhá 23 dias,2022-05-01,"Devido à evolução tecnológica do marketing, o mercado de publicidade gera cada vez mais dados, o que torna a área responsável pela extração, tratamento e…",
43,Vagas de emprego: SpeedJob,SpeedJob,"São Paulo, SP",R$ 1.950 por mês,Postedhá 2 dias,2022-05-01,. Irá dar suporte aos clientes internacionais;. Possuir conhecimento mínimo sobre mercado financeiro.,
44,Itaú Unibanco,Itaú Unibanco,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…",
